"Event Type","Date","Time","Latitude","Longitude","Location","Battery voltage","Speed","Mileage","Direction","MAP IT"
"Launch","12/27/2016","10:25:57 AM","36.626032","-88.306877","Cs-1234, Murray, KY 42071","95","0.00","133.62","NW","http://maps.google.com/?q=36.626032,-88.306877"
"Engine Off","12/27/2016","10:26:56 AM","36.625059","-88.306454","","95","4.97","133.62","NE","http://maps.google.com/?q=36.625059,-88.306454"
"Engine Off","12/27/2016","10:27:55 AM","36.623942","-88.305493","","95","11.19","133.62","S","http://maps.google.com/?q=36.623942,-88.305493"
"Engine Off","12/27/2016","10:28:57 AM","36.620306","-88.303419","","94","21.13","133.62","SE","http://maps.google.com/?q=36.620306,-88.303419"
"Engine Off","12/27/2016","10:29:55 AM","36.615903","-88.297864","","95","34.18","134.24","E","http://maps.google.com/?q=36.615903,-88.297864"
"Engine Off","12/27/2016","10:30:54 AM","36.613666","-88.291047","","95","27.97","134.87","SE","http://maps.google.com/?q=36.613666,-88.291047"
"Engine Off","12/27/2016","10:31:54 AM","36.613867","-88.281718","","94","36.05","135.49","E","http://maps.google.com/?q=36.613867,-88.281718"
"Engine Off","12/27/2016","10:32:55 AM","36.617550","-88.266951","","94","59.04","136.11","E","http://maps.google.com/?q=36.617550,-88.266951"
"Engine Off","12/27/2016","10:33:54 AM","36.621212","-88.252292","","93","52.21","136.73","E","http://maps.google.com/?q=36.621212,-88.252292"
"Engine Off","12/27/2016","10:35:00 AM","36.622653","-88.235394","","93","57.80","137.97","E","http://maps.google.com/?q=36.622653,-88.235394"
"Engine Off","12/27/2016","10:35:58 AM","36.622010","-88.219608","","93","51.58","138.60","E","http://maps.google.com/?q=36.622010,-88.219608"
"Engine Off","12/27/2016","10:56:58 AM","36.639190","-87.725541","","94","88.25","166.56","E","http://maps.google.com/?q=36.639190,-87.725541"
"Engine Off","12/27/2016","10:54:58 AM","36.633060","-87.778236","","93","88.25","163.46","E","http://maps.google.com/?q=36.633060,-87.778236"
"Engine Off","12/27/2016","10:55:58 AM","36.636066","-87.752027","","94","103.79","164.70","E","http://maps.google.com/?q=36.636066,-87.752027"
"Engine Off","12/27/2016","10:57:59 AM","36.642710","-87.698310","","94","92.60","167.81","E","http://maps.google.com/?q=36.642710,-87.698310"
"Engine Off","12/27/2016","10:58:58 AM","36.648129","-87.671618","","94","85.15","169.67","E","http://maps.google.com/?q=36.648129,-87.671618"
"Engine Off","12/27/2016","11:00:57 AM","36.656648","-87.617608","","92","98.20","172.16","E","http://maps.google.com/?q=36.656648,-87.617608"
"Engine Off","12/27/2016","10:59:57 AM","36.653658","-87.644789","","94","87.63","170.91","E","http://maps.google.com/?q=36.653658,-87.644789"
"Engine Off","12/27/2016","11:01:58 AM","36.660135","-87.589685","","93","103.79","174.02","E","http://maps.google.com/?q=36.660135,-87.589685"
"Engine Off","12/27/2016","11:02:57 AM","36.664584","-87.562516","","93","98.20","175.26","E","http://maps.google.com/?q=36.664584,-87.562516"
"Engine Off","12/27/2016","11:03:57 AM","36.668291","-87.533867","","92","98.82","177.13","E","http://maps.google.com/?q=36.668291,-87.533867"
"Engine Off","12/27/2016","11:04:58 AM","36.671689","-87.504481","","91","95.71","178.99","E","http://maps.google.com/?q=36.671689,-87.504481"
"Engine Off","12/27/2016","11:05:57 AM","36.674976","-87.476964","","91","93.85","180.24","E","http://maps.google.com/?q=36.674976,-87.476964"
"Engine Off","12/27/2016","11:06:57 AM","36.678651","-87.450327","","91","93.85","182.10","E","http://maps.google.com/?q=36.678651,-87.450327"
"Burst","12/27/2016","11:51:28 AM","36.76941","-86.43699",    "",""  , ""    , ""     , "", ""
"Engine Off","12/27/2016","12:28:43 PM","36.774265","-86.300717","","82","90.74","191.42","E","http://maps.google.com/?q=36.774265,-86.300717"
"Engine Off","12/27/2016","12:29:42 PM","36.776638","-86.274678","","89","84.52","192.67","E","http://maps.google.com/?q=36.776638,-86.274678"
"Engine Off","12/27/2016","12:30:44 PM","36.776494","-86.249911","","78","77.07","193.91","E","http://maps.google.com/?q=36.776494,-86.249911"
"Engine Off","12/27/2016","12:31:43 PM","36.775172","-86.226847","","78","79.55","195.77","E","http://maps.google.com/?q=36.775172,-86.226847"
"Engine Off","12/27/2016","12:32:43 PM","36.774637","-86.205142","","78","68.99","196.40","E","http://maps.google.com/?q=36.774637,-86.205142"
"Engine Off","12/27/2016","12:33:42 PM","36.774491","-86.186842","","78","55.94","197.64","E","http://maps.google.com/?q=36.774491,-86.186842"
"Engine Off","12/27/2016","12:34:43 PM","36.775483","-86.170378","","85","52.83","198.88","E","http://maps.google.com/?q=36.775483,-86.170378"
"Engine Off","12/27/2016","12:35:42 PM","36.776476","-86.153413","","83","54.07","199.50","E","http://maps.google.com/?q=36.776476,-86.153413"
"Engine Off","12/27/2016","12:36:43 PM","36.773604","-86.142350","","82","32.32","200.12","SE","http://maps.google.com/?q=36.773604,-86.142350"
"Engine Off","12/27/2016","12:37:42 PM","36.771316","-86.138359","","82","8.70","200.75","E","http://maps.google.com/?q=36.771316,-86.138359"
"Landing","12/27/2016","12:39:14 PM","36.770941","-86.135990","302 Whitney Rd, Scottsville, KY 42164","82","0.00","200.75","E","http://maps.google.com/?q=36.770941,-86.135990"
